Team,Average Wins,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ATL,38.2173913,24,43,48,60,38,44,40,44,53,47,37,30,26,13,28,35,33,25,28,31,50,56,46
BOS,40.86956522,55,53,48,40,25,41,39,56,50,62,66,24,33,45,36,44,49,36,35,19,36,15,33
BRK,33.82608696,28,20,21,38,44,49,22,24,12,34,34,41,49,42,47,49,52,26,31,16,43,26,30
CHI,40.82608696,27,41,42,50,48,45,50,62,41,41,33,49,41,47,23,30,21,15,17,13,62,69,72
CHO,31.85714286,36,36,48,33,43,21,7,34,44,35,32,33,26,18,,,,,,,,,
CLE,40.13043478,50,51,57,53,33,24,21,19,61,66,45,50,50,42,35,17,29,30,32,22,47,42,47
DAL,44.52173913,24,33,42,50,49,41,36,57,55,50,51,67,60,58,52,60,57,53,40,19,20,24,26
DEN,37.73913043,46,40,33,30,36,57,38,50,53,54,50,45,44,49,43,17,27,40,35,14,11,21,35
DET,41.52173913,39,37,44,32,29,29,25,30,27,39,59,53,64,54,54,50,50,32,42,29,37,54,46
GSW,37.95652174,58,67,73,67,51,47,23,36,26,29,48,42,34,34,37,38,21,17,19,21,19,30,36
HOU,45.73913043,65,55,41,56,54,45,34,43,42,53,55,52,34,51,45,43,28,45,34,31,41,57,48
IND,43.95652174,48,42,45,38,56,49,42,37,32,36,36,35,41,44,61,48,42,41,56,33,58,39,52
LAC,35.34782609,42,51,53,56,57,56,40,32,29,19,23,40,47,37,28,27,39,31,15,9,17,36,29
LAL,45.95652174,35,26,17,21,27,45,41,57,57,65,57,42,45,34,56,50,58,56,67,31,61,56,53
MEM,33,22,43,42,55,50,56,41,46,40,24,22,22,49,45,50,28,23,23,22,8,19,14,15
MIA,45.65217391,44,41,48,37,54,66,46,58,47,43,15,44,52,59,42,25,36,50,52,33,55,61,42
MIL,35.7826087,44,42,33,41,15,38,31,35,46,34,26,28,40,30,41,42,41,52,42,28,36,33,25
MIN,34.73913043,47,31,29,16,40,31,26,17,15,24,22,32,33,44,58,51,50,47,50,25,45,40,26
NOP,40.04347826,48,34,30,45,34,27,21,46,37,49,56,39,38,18,41,47,44,46,49,26,51,54,41
NYK,36.04347826,29,31,32,17,37,54,36,42,29,32,23,33,23,33,39,37,30,48,50,27,43,57,47
OKC,45.43478261,48,47,55,45,59,60,47,55,50,23,20,31,35,52,37,40,45,44,45,25,61,57,64
ORL,39.04347826,25,29,35,25,23,20,37,52,59,59,52,40,36,36,21,42,44,43,41,33,41,45,60
PHI,34.30434783,52,28,10,18,19,34,35,41,27,41,40,35,38,43,33,48,43,56,49,28,31,22,18
PHO,41.82608696,21,24,23,39,48,25,33,40,54,46,55,61,54,62,29,44,36,51,53,27,56,40,41
POR,43.30434783,49,41,44,51,54,33,28,48,50,54,41,32,21,27,41,50,49,50,59,35,46,49,44
SAC,36.13043478,27,32,33,29,28,28,22,24,25,17,38,33,44,50,55,59,61,55,44,27,27,34,39
SAS,54.73913043,47,61,67,55,62,58,50,61,50,54,56,58,63,59,57,60,58,58,53,37,56,20,59
TOR,36.69565217,59,51,56,49,48,34,23,22,40,33,41,47,27,33,33,24,42,47,45,23,16,30,21
UTA,45.73913043,48,51,40,38,25,43,36,39,53,48,54,51,41,26,42,47,44,53,55,37,62,64,55
WAS,34.82608696,43,49,41,46,44,29,20,23,26,19,43,41,42,45,25,37,37,19,29,18,42,44,39
